rank,content_id,client_id,model_score,suggested_action,reason_codes,stale_but_visible,model_decline_risk_high,ctr_underperforming_for_position,recent_click_drop,syndicated_not_owned,too_new_unstable,needs_verification_before_trusting,content_type,main_intent,impressions_90d,clicks_90d,avg_position,ctr,days_since_last_update,content_age_days,trend_direction
11690,content_c226cf2064d2,client_3fdba35f04,0.5910690040599645,refresh_review_routine,stale_but_visible,True,False,False,False,False,False,False,keyword article,informational,929,3,4.4,0.32,104,155,down
11691,content_428091827d49,client_6208ef0f77,0.5910637675383699,refresh_review_routine,stale_but_visible|recent_click_drop,True,False,False,True,False,False,False,keyword article,informational,8785,53,13.1,0.6,104,307,down
11692,content_2ceef0464663,client_f369cb89fc,0.5910590663714427,monitor,none,False,False,False,False,False,False,False,keyword article,unknown,7,0,1.6,0.0,20,126,down
11693,content_a6b8295b5d74,client_f74efabef1,0.5910297568775933,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,informational,115,1,20.6,0.87,20,125,down
11694,content_330a9f2d60d6,client_624b60c58c,0.5910179929624045,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,transactional,26,0,11.7,0.0,104,132,down
11695,content_2b7563b8cdfc,client_6208ef0f77,0.5910025561048218,refresh_review_routine,stale_but_visible|recent_click_drop,True,False,False,True,False,False,False,keyword article,transactional,20442,9,27.5,0.04,104,300,down
11696,content_7763d04703d0,client_434c9b5ae5,0.5909822646601244,monitor,none,False,False,False,False,False,False,False,keyword article,informational,246,2,6.0,0.81,8,113,stable
11697,content_06c9e43d1287,client_4e07408562,0.5909631218041087,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,1376,0,19.0,0.0,5,390,down
11698,content_1b8802e11084,client_d029fa3a95,0.5909484908565824,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,98,0,18.7,0.0,20,118,down
11699,content_947631bcfab1,client_8722616204,0.5909461857124942,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,82,0,13.0,0.0,8,98,down
11700,content_754c9480298f,client_19581e27de,0.5909431684411428,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,informational,5903,22,4.9,0.37,20,103,down
11701,content_453d445896e5,client_d4735e3a26,0.590935871639879,monitor_not_owned,ctr_underperforming_for_position|syndicated_not_owned,False,False,True,False,True,False,False,feedly article,unknown,2,0,5.0,0.0,20,301,down
11702,content_6b3a5a65c212,client_8722616204,0.5909229873785022,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,2,0,6.0,0.0,104,183,flat
11703,content_0b360eb9db55,client_349c41201b,0.5909068919338205,monitor,none,False,False,False,False,False,False,False,keyword article,transactional,5141,7,11.4,0.14,20,119,down
11704,content_04ff07050894,client_98a3ab7c34,0.590883643432716,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,8,0,7.0,0.0,1,91,down
11705,content_d147b8a57322,client_d029fa3a95,0.5908578727940086,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,comparison article,informational,93,0,5.7,0.0,20,221,down
11706,content_6c2d24ecfd5d,client_d029fa3a95,0.5908363933379555,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,comparison article,informational,50,0,8.2,0.0,20,141,down
11707,content_f04225a5ccde,client_3fdba35f04,0.5908177577905881,refresh_review_routine,stale_but_visible|recent_click_drop,True,False,False,True,False,False,False,keyword article,informational,2133,17,7.9,0.8,104,165,down
11708,content_4a0d5360b7fe,client_a88a7902cb,0.5908135737683898,monitor,ctr_underperforming_for_position|recent_click_drop,False,False,True,True,False,False,False,keyword article,transactional,1307,2,8.7,0.15,20,153,down
11709,content_a6544458b585,client_8527a891e2,0.5907782424206487,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,152,0,40.6,0.0,104,309,up
11710,content_721a36a0da7a,client_8527a891e2,0.5907691103818008,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,27,0,15.9,0.0,20,120,down
11711,content_dfc17d31f2f4,client_19581e27de,0.5907654776636888,refresh_review_routine,stale_but_visible|ctr_underperforming_for_position,True,False,True,False,False,False,False,keyword article,transactional,658,0,45.5,0.0,104,362,stable
11712,content_5825f1c45ece,client_4e07408562,0.59073825296631,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,transactional,2508,21,6.3,0.84,7,420,down
11713,content_09191069a5f6,client_7f2253d7e2,0.5907371036725347,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,93,0,3.5,0.0,20,132,flat
11714,content_b9caf92ac39b,client_8722616204,0.5907209744730798,monitor_too_new,ctr_underperforming_for_position|too_new_unstable,False,False,True,False,False,True,False,keyword article,informational,561,0,8.5,0.0,20,90,down
11715,content_4f81b031719a,client_19581e27de,0.590717375072905,monitor,none,False,False,False,False,False,False,False,keyword article,transactional,13286,52,6.1,0.39,20,124,down
11716,content_3d5c5db1d307,client_a88a7902cb,0.5907016724556837,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,transactional,100,0,13.3,0.0,28,125,down
11717,content_d1dc90c8a4f9,client_8722616204,0.5907011188932836,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,transactional,60,0,9.1,0.0,104,140,down
11718,content_4fe992b6e8f1,client_6208ef0f77,0.590670840826538,monitor,none,False,False,False,False,False,False,False,keyword article,informational,1596,11,6.9,0.69,20,95,up
11719,content_fb89ff6bdb92,client_98a3ab7c34,0.590668860867179,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,13,0,6.2,0.0,1,106,down
11720,content_daa2dc5a0441,client_3fdba35f04,0.5906472894647091,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,597,0,25.3,0.0,20,111,down
